College,Source,Quick description,Link to object ,Date (source),Date (event),Number of students (if available),"Size/Scope: small, medium, large, entire student body",Reason,Cause (if known/if any),General umbrella tags,"Against who? (speaker, admin, profs, newspaper?)",Group involvement,Name of group involvement (if any),Effect (if known),How/Method,Location,Is this object linked to other objects?,Name under all objects are linked ,Text OCR
Vassar,The Miscellany News,"Details of the student's demands for Vassar to divest from IBM, especially given a planned consortium of post-graduates and the college",https://newspaperarchives.vassar.edu/?a=d&d=miscellany19710219-01.2.2&srpos=20&e=-12-1969--01-1986--en-20-miscellany-1-byDA-txt-txIN-protest-------,1971-02-19,,,entire student body,Consortium between Vassar and IMB,IMB's involvement in the war,"anti-war, Vietnam war, divestment, IMB","trustees, administration",students,,,"petition, boycotting, leaflerring, teach-ins, speakers, march",,Yes,vc_imbconsortium,"Center Protest Continues; Petitions, Letters Planned

Protest activities continue against the consortium. Students have circulated a petition requesting the Trustees to return to the campus for discussion with the students. The petition reads: ""In light of the emphatic stand which the Vassar student body has taken on the current issue of the Consortium, evidenced by the February 15th student referendum and the February 17th Senate resolutions, we the undersigned, hereby request that the Board of Trustees of Vassar College meet on campus with concerned members of the Vassar community at the earliest opportunity in the coming week of February 22nd."" A group of students carry on with actions boycotting Vassar. These actions include contacting alumnae and alumni to express opposition to the consortium and to ask them to withhold funds until the consortium is repealed, collecting signatures on petitions from Seniors refusing to make class donations or later donations if the consortium is enacted, and contacting prospective and incoming students to explain the protest against the consortium To demonstrate opposition to IBM's involvement in the consortium leafletting in the comunity about IBM and teach-ins on the corporation are planned Some students plan to attend the Mixer dressed as business men complete with attache cases. During band breaks they will entertain with dancing and singing IBM family songs. Next week two members of the Seattle Conspiracy including Joe Kelly, plan to speak on campus. They will discuss current campus affairs, the Seattle Conspiracy, the war in Laos, national student spring actions, and particularly the National Student Association proposed People's Peace Treaty.

VASSAR STUDENTS MARCH on IBM's Route 9 plant on Wednesday."
Vassar,The Miscellany News,Letter on consequences of witholding alumni donations,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19710226-01.2.7&srpos=22&e=-12-1969--01-1986--en-20-miscellany-21-byDA-txt-txIN-protest-------,1971-02-26,,,entire student body,Consortium between Vassar and IMB,IMB's involvement in the war,"anti-war, Vietnam war, divestment, IMB",administration,"students, alumni",,,witholding donations,Vassar College,Yes,vc_imbconsortium,"Alumnae Letter

Certain groups on this campus have decided that the most expedient way to protest the Vassar /consortium relationship is to contact the alumnae and urge them to withhold donations to the college. This rationale is perversely effective - it hits Vassar in the pocketbook, the most vulnerable spot. However, as a form of protest this tactic engenders more disadvantages than advantages. Vassar desperately needs money; to eliminate a substantial amount of alumnae funding would be disastrous. Since the majority of the donations would probably be channeled into sundry educational areas - for improved facilities, lectures, new teachers, building expansions, and scholarships - it seems obvious that to withhold funds would damage the future for the entire college and its community, not simply the graduate center. Some of the students who signed the letter being sent to alumnae are on Vassar scholarships or Financial Aid grants. Are they asking Vassar College to stop supporting their education here? The Misc agrees with those students who feel that the alumnae should express their opinions - negative or otherwise - to the college about the graduate center; we disagree, however, about the method of expression. Mother's advice about not cutting off your nose to spite your face seems apt; losing alumnae funds would only succeed in entrenching Vassar in a continual financial crisis, a continual cycle of undesirable educational cutbacks. An alumnae letter - pro or con - can produce constructive effects: a cessation of donations can only hurt the caliber and potential of a Vassar education."
Vassar,The Miscellany News,Students hold vigil outside president's office,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19710226-01.2.23&srpos=24&e=-12-1969--01-1986--en-20-miscellany-21-byDA-txt-txIN-protest-------,1971-02-26,,60,small,Consortium between Vassar and IMB,IMB's involvement in the war,"anti-war, Vietnam war, divestment, IMB","administration, president",students,,,"vigil, conversation",Vassar College,Yes,vc_imbconsortium,"About 60 students gathered outside President Simpson's office between 12:45 and 1:15 Wednesday afternoon in a vigil to protest Vassar's participation in the consortium. Mr. Simpson was not on campus, but Vice President for Student Affairs John Duggan and Assistant to the President Glen Johnson walked through the students as the vigil was ending. About 5 or 6 students remained afterwards to discuss with Mr. Duggan their reasons for opposing the consortium."
Vassar,The Miscellany News,President of college's response to Vassar students protest against IMB and Vassar consortium,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19710305-01.2.13&srpos=25&e=-12-1969--01-1986--en-20-miscellany-21-byDA-txt-txIN-protest-------,1971-03-05,,,entire student body,Student protest against Vassar's consortium with IMB,Consortium between Vassar and IMB,"anti-war, Vietnam war, divestment, IMB",students,college president,President Simpson,,media interview,Vassar College,Yes,vc_imbconsortium,"Simpson's nedia hustle

President Simpson has for a second time tried to discredit student opinion on Vassar's involvement in a graduate center, by telling the media that student opinion is the result of ""mental reflex action"" (as the Poughkeepsie Journal calls it) rather than of logic. The Journal's editorial of February 26, ""Decision by Reflex,"" clearly takes its position from President Simpson's interpretation of events at Vassar. ""Alan Simpson, president of Vassar College, alluded to this mental reflex action in his statement concerning student attitudes toward the controversial graduate center..."" President Simpson seems to believe that students who voted ""no"" on the consortium did not hold considered opinions at all, but were motivated by a number . of unworthy factors, or else were merely confused. He is quoted as saying that the pr6test movement was getting ""less and less sympathy from the majority."" But the ""protest movement"" is the majority. Perhaps President Simpson would like it believed that the protest movement is made up of a handful of hard-core irrationalists, and that the rest of the student body - the ""Majority"" who voted down the

consortium - swung behindlthem out of ignorance or passMty 01 something on that order. If If anyone is guilty of wjhat Journal calls ""reflex thin|dng'/ltV = is President Simpson himpplfflnd J5 a few other supporters oy/the consortium. Clearly he /fther believes, or has attempted to create the belief, that student opinion must be discounted. Having committed himsrfW to the h

consortium, he seems to be trying to find ways of minimizing or ignoring the strong opposition that exists at Vassar. In the two referenda, student response was not to his liking, so President Simpson sought to undermine the significance of the vote. The result of the first referendum was ""irrational:"" the result of the second, not ""reliable."" On the basis of President Simpson's past performance, there is strong reason to believe that if the entire student body were to vote down the consortium again tomorrow, he would find some reason for dismissing that vote as well. President Simpson has shown that he himself acts in terms of ""mental reflex action;"" this seems perfectly to describe the pronouncements on student opinion he has made to date. If anyone is impervious to logic, it is Simpson himself. And here is an exercise for everyone's reasoning processes: We have been told that IBM will not ""control"" the Consortium. We have also been told that the consortium will come into being, with or without Vassar's participation. If we ask ourselves whether the consortium would come into being with or without IBM's support, some interesting implications are revealed. If IBM were not going to supply 85'< of the students, and their tuition, would the consortium go ahead nevertheless? Would Syracuse, Union, and Vassar build a ""modest little building"" for themselves alone? It seems unlikely. Without Vassar, the show goes on; without IBM, it is icatcti) conceivable. This suggests .1 true idea of whose power is greatest, and whose interests will be most strongly represented. Whether or not IBM is one of the founding members of the consortium, it is obviousK going to be the most powerful one."
Vassar,The Miscellany News,Asking students to end their sit-in of Main building ,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19710423-01.2.7&srpos=28&e=-12-1969--01-1986--en-20-miscellany-21-byDA-txt-txIN-protest-------,1971-04-23,,,entire student body,Students protesting the unfair hiring and firing practices of professors by the college administration (favoritism and not ability) and student's inability to affect college decisions,Firing of various esteemed professors,"professors, elitism, power imbalance,  professor hiring practices",administration,students,,,"sit-in, building takeover",Vassar College,Yes,vc_professorhiring,"There seems to be no use in dealing with specifics and asking the students to leave Main because there is an opening for serious negotiations to revise the governance, or because they may get themselves in trouble - that is not what many are concerned with. We could argue the pros and cons of the current system of evaluating faculty members, of student demands, of any and all degrees of modification in the middle endlessly, and make little progress. When students said at Wednesday's meeting that they did not want to hear ""rules and regulations,"" that is exactly what they meant. The protest to some extent goes beyond Vassar, beyond hiring and firing practices here. Implicitly with the principles behind the demands and explicitly with the sit-in, is a challenge to educational goals and policies here, but also a questioning of those values in society. I know that is vague and clicheish - but I really do not know how else to say it. I do not necessarily agree with all the demands of the students, although I think substantial change in the faculty evaluative system is essential. Even if I did agree with the demands I would not agree with the tactics of a sit-in, and I think the students should leave - for their own good and for the good of this college. I hate to use the word ""frustration,"" and to administrative questions of how do we deal with ""vague and pervasive discontent"" I offer no answers. But it is not a matter of agreeing with what is often termed as ""emotionalism,"" if rules and laws are not to be dealt with - it is a matter of looking deeply into the reasons why it seems to be so influential among students to the extent that ""rational"" voices, particularly among students themselves, are largely unheard and even ridiculed. We are attempting communication on different levels and the presentation of demands and specific proposals for change by students seem only to confuse the issue. Students present them and then apparently refuse to negotiate them or act in a way which will allow change to be implemented. Administrative and much faculty reaction is anger, the impuls a is to punish the offending children, but how much are they willing to look into the reasons why many people who I am sure have spent much effort at ""rational"" thought turn to such drastic and, to the administration and to some faculty, inexplicable methods? I really think the sit-in has served, but now outlived its purpose. No matter what happens now, if governance is revised or if it is not, I do not know what might stop this elusive but powerful frustration from taking hold again - in a slightly different form, for a slightly different reason, but it will be just as elusive and probably just as powerful. As I say, I offer no answers. Society, education, and Vassar will not become perfect tomorrow - and even if they did for some people they would not for others. I do not mean to minimize the specific complaints which students have with Vassar College. The grievances are real, and Vassar is not just the focus of all this ""frustration"" but here and now it is the cause. At this time it is impossible for me to attempt an analysis of ways in which Vassar should change its governance with respect to contract decisions, although maybe that would be the only way to draw the attention to all that precipitated the protest to begin with. But there is still a chance that something positive can come out of this and we should all try to assure that. The first thing for the students to do is leave Main."
Vassar,The Miscellany News,"Description of why students continue to sit-in in Main building, mostly that the president and the administration do not listen to students on issues of community concern",https://newspaperarchives.vassar.edu/?a=d&d=miscellany19710430-01.2.8&srpos=31&e=-12-1969--01-1986--en-20-miscellany-21-byDA-txt-txIN-protest-------,1971-04-30,,,entire student body,Students protesting the unfair hiring and firing practices of professors by the college administration (favoritism and not ability) and student's inability to affect college decisions,Firing of various esteemed professors,"professors, elitism, power imbalance,  professor hiring practices","administration, president",students,,,"sit-in, building takeover",Vassar College,Yes,vc_professorhiring,"ADVERSARIA

Distrust

by JUDY YANDOH

To view the sit-in only in the terms of an action to improve education at Vassar is to misinterpret the full meaning of the protest. The occupation of the North Wing of Main is a reaction by students to the belief that the administration will not take into consideration their opinions unless there is direct action. The sit-in is a reflection of a deep distrust in President Simpson. It could be argued that all channels for Governance revision were not exhausted before the action was taken. Yet it must also be remembered that the administration has lately set no precedent in taking into serious account student opinion (especially on the Consortium) or issues of vital concern to the college community. Vassar can function only if students believe that their opinions will be considered without a section of Main being taken over. Compromise is required by both the students and the administration. I would suggest that the sit-in be ended now, that no student involved be punished, and that an immediate revision of the Governance by the new faculty-student committee be initiated. The sit-in also raises the question of the protestors responsibility to the rest of the student body, especially in regard to the shutting down of the services of the Deans' offices. One of last week's Misc editorials contained the statement, ""That while they (the Committee on Faculty Firing) welcome the support of the uncommitted, their disapproval or disavowal will not affect the former's action."" Such a cavalier attitude toward student reaction seems incongruous with the committee's stated attempt to be acting for the benefit of the college community. Most students have grown apathetic about the sit-in; the occupation of North Wing has become an accepted part of the Vassar scene in much the same sense the Retreat has. But further radical action to force the hand of the administration could conceivably result in the active resistance by the majority of students to the moves of the Committee."
Vassar,The Miscellany News,"Description of Main sit-in, student demands, and administration's response",https://newspaperarchives.vassar.edu/?a=d&d=miscellany19711001-01.2.11&srpos=37&e=-12-1969--01-1986--en-20-miscellany-21-byDA-txt-txIN-protest-------,1971-10-01,April 21 1971,200,large,Students protesting the unfair hiring and firing practices of professors by the college administration (favoritism and not ability) and student's inability to affect college decisions,Firing of various esteemed professors,"professors, elitism, power imbalance,  professor hiring practices","administration, president, trustees",students,,,"sit-in, building takeover",Vassar College,Yes,vc_professorhiring,"SPEAKOUT

Thoughts on the April Sit-In

by ANN MENASCHE

Around midnight of April 21 of 1971200 Vassar students occupied the North wing of Main in protest over the arbitrary firing of a few faculty members, many of whom were popular teachers and received good departmental recommendations. This came after several weeks during which students exhausted so-called •legitimate channels"", including holding a mass meeting where President Simpson and members Of the Faculty Advisory Committee who give recommendations on hiring and firing to Simpson, who generally speaking had the final say) refused to answer students' questions on the reasons these teachers were fired, and obtaining overwhelming Senate support for the demands of the students. The conflict over hiring and firing pinpointed the bierachical structure of Vassar College, which like other colleges and universities in America, denies students and faculty any significant decision making power in running the College Power, as Mr. Simpson clearly stated to me in a meeting last week, lies ultimately in the Trustees, made up of people like the Vice President of IBM and the former head of Central Hudson. They delegate authority to the President, whom they appoint and may revoke. Tenure, though in one sense the only job protection teachers have since they have neither a union nor any power within the college structure, sets up a hierachy of privileges in the faculty and tends to stagnate it with older, more traditional teachers iwho think like the President I, discouraging the more creative, radical or unconventional ones 'This society, which calls inself democratic, shows its hypocrisy when it denies the members of a college community (students and faculty i the power to control that community. But this denial of simple democratic rights is necessary for capitalism to survive. since capitalism depends on universities (and all other institutions such as businesses and government) to he run by and in the interest of the ruling class and the bureaucrats right under them, instead of by and in the interests of the majority of the people Mr Simpson told me when we spoke that many people in the Sit-in didn't realize how radical and

extreme our demands really were This is understandable since democracy Beamed quite moderate and unreasonable to us; at least we had always been taught that it was But our demands did not even carry democracy to its logical con elusion by demanding oneperson. one vote, or even a representative council composed of half faculty and half students. We only demanded that a Committee of Faculty Appointments be set up composed of three tenured members of the faculty, three non-tenured members, bot'i elected from the faculty as a whole, and three student members elected from the student body, and that this Committee be given final say in hiring and firing. Still, the college did not even grant us this. But does this mean that the Sitin and the struggle for studentfaculty control is a waste of time, since we won't win our demands in totality until after a Socialist Revolution? Definitely not. The demand for student-faculty control takes a transitional character, meaning that we CAN win significant concessions and gains from the schools before a Revolution through mass struggle and at the same time our struggles will point out more and more clearly the need for revolutionary change. We must keep in mind that we would not have even won an expanded student) review apparatus, the Student Advisory Committee,'as provided for in the Committee of 7"" report, had it not been for the Sit-in. Even though Mr Simpson admitted that the ""CommitteeOf 7"" Report makes no change whatsoever in ths power structure of the College, it does allow students to rev lew faculty members who are being considered for tenure and make a recommendation (only a recommendation, of course) The Sit-In won as this minor victory. hut if we had done things right. we could have won more and avoided getting $100 fines and ""suspended expulsions"". First of all. even though we involved more than two hundred students, we would have been much more effective if we had involved more students. A mass student strike similtanoous with a Sit In would have put much more pressure on the college to really negotiate and would have prevented the Sit In from evolving into a small elite group

isolated from the rest of the students 'There is a physical limit on how many people can take active part in the Sit-in Obviously, it is much more dif lieult to mobilize the entire student body into action, but there are precedents, even at Vassar 'The greatest measure of student faculty control Vassar ever had was during the May 1970 National Student Strike, when Vassar was turned into an AntiWar mobilizing center to reach out to the rest of the population. A steering committee was elected and major decisions were made at open mass meetings And again, last year, there was a fairly successful one day strike over VIT iVIT seems dead now, partly thanks to us) If we had taken over a more crucial part of Vassar like the Post Office or the Computer Center, we would have put more pressure on the administration also. But unless we had the mass support and participation that something like a simultaneous strike would provide, such an action might have opened us to more victimization than we experienced with the taking over of the North Wing of Main. On May 5. we evacuated the building, announcing that we were leaving ""on trust"", a ""trust"" supposedly arising from the Committee of 7 report In truth, it was near the end of the school year and people had papers and exams But it was a great mistake to leave the sit-in saying that we trusted those who had so betrayed us in the past and not even demand amnesty. Our trust was rewarded with indictments After a two week sit m. we left like fools At that point it would have been worth it to stay a little longer until we were at least granted amnesty (Amnesty should have been part ot the initial demands). We should have made it clear from the beginning that in the struggle over (acuity firings, we were the victims and the administration the criminals, and that we did not deserve to be punsihed. In capitalist society, the only morality is that of victory, the winner is rewarded and the k set is punished Mr Simpson sue ceeded in waiting us out until we left on our own accord We lost mi the main) and were punished. Next tune we will avoid the mistakes that we made last spring and win"
Vassar,The Miscellany News,Small group of black students protest Senator John Dunne's approach to the Attica Prison rebellion of 1971,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19711008-01.2.10&srpos=41&e=-12-1969--01-1986--en-20-miscellany-41-byDA-txt-txIN-protest-------,1971-10-08,,,small,Senator John Dunne's cavalier and insensitive approach to discussing the Attica Prison Rebellion,,"racism, discrimination, race relations, penal reform",government,students,,,letter,Vassar College,,,"SPEAKOUT II:

To the Editor: We, a group of concerned Black students at Vassar College wish to express what we determine as an outrage to the public and in particular to Black people. We are concerned about the education of people to the elements of our society which contribute to our polarization and continued practices to promote ignorance of true facts. Senator John Dunne of New York State spoke supposedly on ""Attica "" He hardly touched the tragedy but dealt in what we feel was a blatant misrepresentation of his purpose and the facts. We protest the following aspects of his presentation: 1 A lack of sensitivity toward the situation at Attica, minorities and their problems 2 His superficial approach to his subject and manner in relating his subject. 3. His constant politicking throughout his speech 4 His evasive manner His lack of sensitivity was displayed in the following manner. His jocular opening Statements about us being nice

Vassar girls and a whole tirade of his adventures at Vale as it related to Vassar. This manner was displayed throughout his speech, even when discussing tragic events. His sensitivity was lacking in the fact that he constantly referred to tin' prisoners as ""chaps"" or by their first names and referred to the officials and guards as ""Mr "" or their title. His preconceived notion of the actions of the prisoners when he assumed that the white bandages around the slain hostages throats were the result of their throats having been slashed. He constantly passed value judgements on the actions and reaction of the prisoners, their organizational abilities, the noncommitment of Brother Bobby Scale to sell his Brothers a compromise package and his lack of any emotion or remorse when describing the scene he witnessed when the prison was under seige resulting in the death of the inmates and guards The crowning statement was his referral to himself when he found himself inside Attica was, ""What's a nice middle class white boy like me doing in a place like this?"" His superficiality was displayed by the constant name dropping of Black and Puerto Rican members of the negotiating team in order to

qualify his image as a ""liberal"" with a rapport with the minorities He constantly used terms that would identify him on the same level as the minorities; ""Brothers. T's in the ghetto."" He described the physical structure of the prison, its ar chitecture and its fine programs Yet these very programs were the ones the prisoners wished to reform This lends questions as to the credibility and sincerity of Mr Dunne as a member of the negotiating team, especially since he was against amnesty, a key issue. His politicking took several forms He claimed that he was received more openly and warmly by the prisoners than any other member of the negotiating team He kept stressing that there were no votes in prison, therefore, trying to justify his humanitarianism He was constantly asking for support for his program which he never fully outlined in concrete terms, as to what approach we should take that would be meaningful towards reform. He implored us to go into the prison and speak with the inmates yet ignoring the true factors that need reform, the guards, the officials and the systems His referral to

Rockefeller calling him ""Johnny"" was strictly a political maneuver to enhance his credibility as a good in "" A politician who can make waves He displayed the true politician's art of evasion in the question and answer period When people started getting into the ""gut"" issues on the moral it) ot what happened at Attica, he answered in the most evasive and superficial way and terminated tiie question and answer period The whole presentation of Mr Dunne was an insult to the in telligence of any logical, politically aware individual in the audience What price will we have to pay in the cause for prison reform if an individual of his qualifications is assigned as the leader of the vanguard for the prison reform It is up to all thinking and aware individuals to expose the John Dunnes who would lead us down the primrose path to frustration and disillusionment He is nothing more than an extension of the repressive forces in our government who choose ""lackeys"" to whitewash the real and the ugly in order to restore and maintain the public image of a democratic, just, central government"
Vassar,The Miscellany News,"Description on how moratorium workshop were not well attended, description of events and of the workshops",https://newspaperarchives.vassar.edu/?a=d&d=miscellany19711022-01.2.26&srpos=44&e=-12-1969--01-1986--en-20-miscellany-41-byDA-txt-txIN-protest--------,1971-10-22,13 October 1971,,small,Protest Indochina war,,"anti-war, anti-indochina war, moratorium",government,"students, professors, out-of-college advocates",,,"teach-in, workshops",Vassar College,,,"Poor Attendance Marks Moratorium Workshop

by WENDY LAWRENCE

The Vassar Community had a wide range of activities to attend on W'edm'sday night. October 13 One could have stayed in the dorms and watched the third game of the World Series, or goix' to Blodgett Hall and seen the video film on ""Vassar College"" 'as designed for alumnae financial stimulation) Or better yet. Frivolous Sal's was selling drinks at half price There was one other activity that took place Wednesday night; a series of workshops held in Chicago Hall as part of a day-long Moratorium exercise to protest the war in Indochina. The latter was the most poorly attended by Vassar students. The Moratorium Workshop (teach-in) was set up by the Vassar Committee to End the War. and the program centered around the various political problems that plague not only the current national and international scene, but the Vassar community as well The workshop included: ""The New Draft Law:"" A look at the new Nixon draft laws and how the Dutchess County Draft Counseling service can serve Vassar

students with selective service problems ""Nou violent Direct Action"" Headed by the Mid-Hudson Nonviolence Center; this workshop talked about nonviolent acts as a political tool ""Bangla-Desh. East Pakistani Belief:"" Dr Usha Agarwal (professor at SUNY. New Pall/1 discussed the political stnle in India as a result of Fast Pakistani migration into Indian territory Ken Withersoon. '74 headed a workshop entitled Non-Politics of Rhetoric or Frisbee as a Subversive Activity One of the best attended conferences which concerned itself with the ""Vassar Mentality"" as Mr Witherspoon put it In addition there were workshops on""The wage Price Freeze,"" ""Nixon's Visit To China"" land as of Oct 13. Moscow i.and ""Grand Juries Political Prisoners and Repression "" The entire evening was well organized and the workshops, though poorly attended, did generate some fine thoughts and interaction between Vassar si ..dents, faculty, alumni and the Poughkeepsie community"
Vassar,The Miscellany News,Description of Anti-War march in Manhattan drawing only a little support from college students,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19711105-02.2.17&srpos=50&e=-12-1969--01-1986--en-20-miscellany-41-byDA-txt-txIN-protest-------,1971-11-05,,"20,000",,Protest war,,"anti-war, anti-indochina war, moratorium",government,"students, out-of-college advocates","United Women's Contingent, Vietnam veterans, America Legion, Labot Contingent, Printing Union, Telephone Union, Postal Union, Radical Labor, Attica Brigade, Gay Activist Alliance",,"marching, speakers","Manhattan, NY",,,
Vassar,The Miscellany News,Letter to protest the administration's handling of other student protests,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19781103-01.2.33&e=-------en-20--1--txt-txIN-protest-------,1978-11-03,,,small,administration was silencing student protests,administration's response,right to protest,administration,"student organization, students",Coalition for Social Responsibility,,"manifestation,
graffiti",Vassar College,,,"Right to protest threatened by 'escapist conservatism'

Victoria Strauss ""77 Carroll E. Robertoon'79

To the Editor: While we are not members of the Coalition for Social Responsibility, and have not participated in any of their actions or protests, we fully support their right to protest - and, in general, the right to protest against anything one considers morally indefensible - within reasonable and non-destructive bounds. We realize that the Coalition itself was not responsible for the offensive and irresponsible graffiti which recently appeared on Vassar buildings, walkways and bulletin boards; moving against consensus within the Coalition, several Coalition members unilaterally decided to indulge their need for ""free expression,""

thereby seriously damaging the credibility of the Coalition as a whole. The Coalition has called these members to account for their actions, and has attempted to remove the slogans. The Coalition has not only manifested its protest in a reasonable and dignified manner, but through its protest it has created constructive alternatives and achieved positive results. We wish, however, to register our shock and dismay at the general conservatism of the student body, revealed over and over in private conversations, and now publicly in the letter by Mr. Shillinglaw (Misc. 10-27-78). In effect, he holds that students should not utilize the effective tactics of non-violent con-

frontation in their protest; because this is inconvenient to others. This is an extremely depressing attitude: it is indicative of the most damaging sort of escapist conservatism, a refusal to consider anything that obtrudes into the normal established routine. To say that the Coalition's protest is ""essentially...just and wellmeant"" but that its manifestation as public confrontation is ""counter-productive"" is to relegate protest to the private sphere of thought, conversation, and the occasional letter. This is a hypocritical attitude, for to deny protest the right to actively and publicly confront its opposition is to deny protest the right to protest. The public arena is protest's most productive forum; this has been demonstrated time and time again. In effect, Mr. Shillinglaw wants to keep protest under wraps. In this he - and the ""silent majority"" he seems to believe he represents - mirror the attitudes of an increasingly conservative society and its wish to ignore anything that visibly conflicts with the established status quo. This is especially frightening when one realizes that Mr. Shillinglaw's silent majority is the next generation, the generation that will graduate to law, business, and medical schools, to the controlling positions of society; and these people will overwhelm, by their deafening silence, public displays of free speech and moral sen-

sibility."
Haverford,Thomas Hartmann,"Students reacted to pink triangles being drawn around campus, a gesture used as a symbol of gay pride, which was originally used by the Nazi regime to distinguish gays from the rest of the population",https://digitalcollections.tricolib.brynmawr.edu/object/hc160914,1988-04-22,,4,small,advocating gay rights,,,,students,,,,,,,
Vassar,The Miscellany News,Vassar soccer players held an occupy protest on the soccer field,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19900406-01.2.69&srpos=6&e=------199-en-20--1--txt-txIN-protest-------,1990-04-06,,,small,protesting for more athletic funding,,athletic funding,Vassar administration,student-athletes,Soccer team,,sit-in,Vassar College,,,"Soccer Players Occupy Field; No One Notices

Occupation fever is spreading in the wake of February's takeover of Main. Last week the soccer team held a sit-in on the soccer field at the farm, and refused to let anyone on it until their demand for more athletic funding was met . The protest began at 11 a.m. with a march around the periphery of the field. The players started some protest chants but failed to come up with any that rhymed. At about four in the afternoon it became apparent that the student body did not support the protest and that no one really wanted to walk on the soccer field anyway. The occupation was called off, with no plans for future negotiations."
Haverford,TIm Hanraham,BGALA staged a demonstration where four female couples and two male couples kiss.,https://digitalcollections.tricolib.brynmawr.edu/object/hc160956,1992-04-12,,10,small,advocating gay rights,instances of on-campus homophobia,"homosexuality, discrimination,activism",student body,students,,,,,,,
